id,origin,destination,departure,arrival,AircraftCode,Aircraft
6E 7246,NAG,AMD,08:40 IST,10:35 IST,AT7,ATR 72
6E 731,MAA,CJB,21:20 IST,22:20 IST,32Q,Airbus A321neo
6E 2587,BHO,DEL,17:00 IST,18:30 IST,320,Airbus A320
6E 6807,IMF,CCU,16:05 IST,17:10 IST,32N,Airbus A320neo
6E 6147,TRV,BLR,13:00 IST,14:20 IST,32Q,Airbus A321neo
6E 343,TRV,MAA,06:35 IST,08:00 IST,32N,Airbus A320neo
6E 475,CJB,BLR,07:30 IST,08:25 IST,32N,Airbus A320neo
6E 6052,IXC,DEL,15:50 IST,16:45 IST,320,Airbus A320
6E 7252,HYD,IXU,07:20 IST,08:45 IST,AT7,ATR 72
6E 7739,VNS,LKO,11:00 IST,11:55 IST,AT7,ATR 72
6E 7148,DED,JAI,19:20 IST,20:30 IST,AT7,ATR 72
6E 7188,TCR,MAA,16:25 IST,18:00 IST,AT7,ATR 72
6E 7229,RJA,HYD,11:55 IST,13:00 IST,AT7,ATR 72
6E 753,BHO,BOM,22:00 IST,23:30 IST,32N,Airbus A320neo
6E 701,IDR,BLR,05:00 IST,07:00 IST,320,Airbus A320
6E 2027,HYD,DEL,20:05 IST,22:15 IST,320,Airbus A320
6E 2204,DEL,JAI,16:50 IST,17:40 IST,321,Airbus A321
6E 5372,MAA,DEL,10:45 IST,13:40 IST,32Q,Airbus A321neo
6E 6017,BLR,MAA,18:50 IST,19:45 IST,32A,Airbus A320 (sharklets)
6E 6536,BBI,BLR,14:20 IST,16:20 IST,32Q,Airbus A321neo
6E 2137,SXR,DEL,11:35 IST,13:10 IST,32A,Airbus A320 (sharklets)
6E 7133,VGA,BLR,20:45 IST,22:30 IST,AT7,ATR 72
6E 7207,BLR,IXM,09:45 IST,11:20 IST,AT7,ATR 72
6E 7206,VGA,HYD,18:15 IST,19:25 IST,ATR,ATR 42 / ATR 72
6E 7239,IXG,BLR,19:45 IST,21:15 IST,AT7,ATR 72
6E 7284,VGA,HYD,22:00 IST,23:05 IST,AT7,ATR 72
6E 7282,CDP,VGA,11:40 IST,12:45 IST,AT7,ATR 72
6E 783,VTZ,HYD,16:20 IST,17:30 IST,320,Airbus A320
6E 326,CCU,JRH,12:40 IST,14:10 IST,32N,Airbus A320neo
